1	Music	2017-06-29 07:10:31	2017-06-29 07:10:34
2	News	2017-06-29 07:10:49	2017-06-29 07:10:50
3	African Rhythms	2017-06-29 07:11:07	2017-06-29 07:11:09
4	Adult Comtemporary	2017-06-29 07:11:48	2017-06-29 07:11:50
5	Entertainment	2017-06-29 07:19:45	2017-06-29 07:19:49
6	Education	2017-06-29 07:20:03	2017-06-29 07:20:06
7	Business	2017-06-29 07:20:17	2017-06-29 07:20:22
8	Politics	2017-06-29 07:20:35	2017-06-29 07:20:37
9	Showbiz	2017-06-29 07:20:46	2017-06-29 07:20:47
10	Sports	2017-06-29 07:20:55	2017-06-29 07:20:56
11	Technology	2017-06-29 07:21:06	2017-06-29 07:21:11
12	Social	2017-06-29 07:21:19	2017-06-29 07:21:19
13	Crime	2017-06-29 07:21:29	2017-06-29 07:21:30
